variable,traduccion
RESULTADO_PCR_COINFECCION-26,RESULTADO_PCR_COINFECCION-CORONA HKU1
RESULTADO_PCR_COINFECCION-27,RESULTADO_PCR_COINFECCION-MUESTRA QUE NO AMPLIFICO
RESULTADO_PCR_COINFECCION-28,RESULTADO_PCR_COINFECCION-ENTEROV//RHINOVIRUS
RESULTADO_PCR_COINFECCION-29,RESULTADO_PCR_COINFECCION-METAPNEUMOVIRUS
RESULTADO_PCR_COINFECCION-30,RESULTADO_PCR_COINFECCION-MUESTRA SIN AISLAMIENTO
RESULTADO_PCR_COINFECCION-32,RESULTADO_PCR_COINFECCION-PARAINFLUENZA 4
RESULTADO_PCR_COINFECCION-33,RESULTADO_PCR_COINFECCION-MUESTRA SIN CELULAS
RESULTADO_PCR_COINFECCION-34,RESULTADO_PCR_COINFECCION-SARS-CoV-2
RESULTADO_PCR_COINFECCION-35,RESULTADO_PCR_COINFECCION-MERS-CoV
RESULTADO_PCR_COINFECCION-36,RESULTADO_PCR_COINFECCION-SARS-CoV
RESULTADO_PCR_COINFECCION-37,RESULTADO_PCR_COINFECCION-BOCAVIRUS
RESULTADO_PCR_COINFECCION-41,RESULTADO_PCR_COINFECCION-MUESTRA NO RECIBIDA
RESULTADO_PCR_COINFECCION-997,RESULTADO_PCR_COINFECCION-NO APLICA (CASO SIN MUESTRA)
RESULTADO_PCR_COINFECCION-998,RESULTADO_PCR_COINFECCION-SIN COINFECCIÓN
RESULTADO_PCR_COINFECCION-999,RESULTADO_PCR_COINFECCION-PENDIENTE
SECTOR-1,SECTOR-CRUZ ROJA
SECTOR-2,SECTOR-DIF
SECTOR-3,SECTOR-ESTATAL
SECTOR-4,SECTOR-IMSS
SECTOR-5,SECTOR-IMSS-BIENESTAR
SECTOR-6,SECTOR-ISSSTE
SECTOR-7,SECTOR-MUNICIPAL
SECTOR-8,SECTOR-PEMEX
SECTOR-9,SECTOR-PRIVADA
SECTOR-10,SECTOR-SEDENA
SECTOR-11,SECTOR-SEMAR
SECTOR-12,SECTOR-SSA
SECTOR-13,SECTOR-UNIVERSITARIO
SECTOR-14,SECTOR-CIJ
SECTOR-15,SECTOR-IMSS Bienestar OPD
SECTOR-99,SECTOR-NO ESPECIFICADO
SEXO-1,SEXO-MUJER
SEXO-2,SEXO-HOMBRE
SEXO-99,SEXO-NO ESPECIFICADO
TABAQUISMO-1,TABAQUISMO-SI 
TABAQUISMO-2,TABAQUISMO-NO 
TABAQUISMO-97,TABAQUISMO-NO APLICA
TABAQUISMO-98,TABAQUISMO-SE IGNORA
TABAQUISMO-99,TABAQUISMO-NO ESPECIFICADO
TIPO_PACIENTE-1,TIPO_PACIENTE-AMBULATORIO
TIPO_PACIENTE-2,TIPO_PACIENTE-HOSPITALIZADO
TIPO_PACIENTE-99,TIPO_PACIENTE-NO ESPECIFICADO
TOMA_MUESTRA_ANTIGENO-1,TOMA_MUESTRA_ANTIGENO-SI 
TOMA_MUESTRA_ANTIGENO-2,TOMA_MUESTRA_ANTIGENO-NO 
TOMA_MUESTRA_ANTIGENO-97,TOMA_MUESTRA_ANTIGENO-NO APLICA
TOMA_MUESTRA_ANTIGENO-98,TOMA_MUESTRA_ANTIGENO-SE IGNORA
TOMA_MUESTRA_ANTIGENO-99,TOMA_MUESTRA_ANTIGENO-NO ESPECIFICADO
TOMA_MUESTRA_LAB-1,TOMA_MUESTRA_LAB-SI 
TOMA_MUESTRA_LAB-2,TOMA_MUESTRA_LAB-NO 
TOMA_MUESTRA_LAB-97,TOMA_MUESTRA_LAB-NO APLICA
TOMA_MUESTRA_LAB-98,TOMA_MUESTRA_LAB-SE IGNORA
TOMA_MUESTRA_LAB-99,TOMA_MUESTRA_LAB-NO ESPECIFICADO
UCI-1,UCI-SI 
UCI-2,UCI-NO 
UCI-97,UCI-NO APLICA
UCI-98,UCI-SE IGNORA
UCI-99,UCI-NO ESPECIFICADO
media::EDAD,media::EDAD
mediana::EDAD,mediana::EDAD
