variable,alias
acciones_perder_peso_3-2,a0110c-aumentar la actividad física?
acciones_perder_peso_3-3,a0110c-seguir las recomendaciones de un profesional de la salud?
acciones_perder_peso_3-4,a0110c-tomar medicamentos para perder peso?
acciones_perder_peso_3-5,a0110c-eliminar el consumo de refrescos?
acciones_perder_peso_3-6,a0110c-aumentar el consumo de vegetales y alimentos ricos en fibra
acciones_perder_peso_3-7,a0110c-realizar algún tipo de ejercicio?
acciones_perder_peso_3-8,a0110c-tomar mucha agua?
acciones_perder_peso_3-9,a0110c-Otra forma (especifica).
acepta_vacunarse-1,h1608-Sí
acepta_vacunarse-2,h1608-No
acepta_vacunarse-3,h1608-Quizás (indeciso(a))
acepta_vacunarse-4,h1608-No responde
actual_fuma_tabaco-1,a1301-todos los días?
actual_fuma_tabaco-2,a1301-algunos días?
actual_fuma_tabaco-3,a1301-no fuma actualmente?
actual_fuma_tabaco-9,a1301-No responde
actualmente_embarazada-1,a0808-Sí.
actualmente_embarazada-2,a0808-No.
actualmente_embarazada-8,a0808-No sabe.
actualmente_embarazada-9,a0808-No responde.
acuben_personas_hipertencion-1,h1509-Muy frecuentemente
acuben_personas_hipertencion-2,h1509-Frecuentemente
acuben_personas_hipertencion-3,h1509-Ocasionalmente
acuben_personas_hipertencion-4,h1509-Rara vez
acuben_personas_hipertencion-5,h1509-Nunca
acude_al_trabajo-1,h1501-Sí
acude_al_trabajo-2,h1501-No
acude_al_trabajo-3,h1501-No aplica
agua_entubada_vivienda-1,h0112-dentro de la vivienda?
agua_entubada_vivienda-2,h0112-solo en el terreno?
agua_entubada_vivienda-3,h0112-no tiene agua entubada?
agua_lavar_ropa-1,h0803-Nunca (0 veces en las últimas 4 semanas)
agua_lavar_ropa-2,h0803-Raramente (1-2 veces en las últimas 4 semanas)
agua_lavar_ropa-3,h0803-A veces (3-10 veces en las últimas 4 semanas)
agua_lavar_ropa-4,h0803-Frecuentemente (11-20 veces en las últimas 4 semana)
agua_lavar_ropa-5,h0803-Siempre (Más de 20 veces en las últimas 4 semanas)
agua_lavar_ropa-88,h0803-No aplica
agua_lavar_ropa-99,h0803-No sabe
alguien_manoseo-1,"a1210-Sí, antes de los 12"
alguien_manoseo-2,"a1210-Sí, cuando tenía 12 o más años"
alguien_manoseo-3,"a1210-No, nunca"
alguien_manoseo-8,a1210-No recuerda
alguien_manoseo-9,a1210-No responde
algun_embarazo-1,a0807-Si.
algun_embarazo-2,a0807-No.
algun_embarazo-9,a0807-No responde.
alguna_calefaccion-1,h0122-Sí
alguna_calefaccion-2,h0122-No
amigos_acude_ayuda-1,a1510-Ninguno
amigos_acude_ayuda-2,a1510-1
amigos_acude_ayuda-3,a1510-2
amigos_acude_ayuda-4,a1510-3 ó 4
amigos_acude_ayuda-5,a1510-5 a 8
amigos_acude_ayuda-6,a1510-9 ó más
amigos_se_confiesa-1,a1509-Ninguno
amigos_se_confiesa-2,a1509-1
amigos_se_confiesa-3,a1509-2
amigos_se_confiesa-4,a1509-3 ó 4
