"subcategoria","var","var_alias","description","visibility","var_type","is_category"
"Industrias manufactureras","493119_2017","Almacenami_2017","Otros servicios de almacenamiento general sin instalaciones especializadas","visible","integer",FALSE
"Industrias manufactureras","493120_2017","Almacenami_2017","Almacenamiento con refrigeración","visible","integer",FALSE
"Industrias manufactureras","493130_2017","Almacenami_2017","Almacenamiento de productos agrícolas que no requieren refrigeración","visible","integer",FALSE
"Industrias manufactureras","493190_2017","Almacenami_2017","Otros servicios de almacenamiento con instalaciones especializadas","visible","integer",FALSE
NA,"511111_2017","NA_2017",NA,"visible","integer",FALSE
NA,"511112_2017","NA_2017",NA,"visible","integer",FALSE
NA,"511121_2017","NA_2017",NA,"visible","integer",FALSE
NA,"511122_2017","NA_2017",NA,"visible","integer",FALSE
NA,"511131_2017","NA_2017",NA,"visible","integer",FALSE
NA,"511132_2017","NA_2017",NA,"visible","integer",FALSE
NA,"511141_2017","NA_2017",NA,"visible","integer",FALSE
NA,"511142_2017","NA_2017",NA,"visible","integer",FALSE
NA,"511191_2017","NA_2017",NA,"visible","integer",FALSE
NA,"511192_2017","NA_2017",NA,"visible","integer",FALSE
NA,"511210_2017","NA_2017",NA,"visible","integer",FALSE
"Información en medios masivos","512111_2017","Películas_2017","Producción de películas","visible","integer",FALSE
"Información en medios masivos","512112_2017","Programas_2017","Producción de programas para la televisión","visible","integer",FALSE
"Información en medios masivos","512113_2017","Videoclips_2017","Producción de videoclips, comerciales y otros materiales audiovisuales","visible","integer",FALSE
"Información en medios masivos","512120_2017","Distribuci_2017","Distribución de películas y de otros materiales audiovisuales","visible","integer",FALSE
"Información en medios masivos","512130_2017","Exhibición_2017","Exhibición de películas y otros materiales audiovisuales","visible","integer",FALSE
"Información en medios masivos","512190_2017","Postproduc_2017","Servicios de postproducción y otros servicios para la industria fílmica y del video","visible","integer",FALSE
NA,"512210_2017","NA_2017",NA,"visible","integer",FALSE
NA,"512220_2017","NA_2017",NA,"visible","integer",FALSE
"Información en medios masivos","512230_2017","Editoras_2017","Editoras de música","visible","integer",FALSE
"Información en medios masivos","512240_2017","Grabación_2017","Grabación de discos compactos (CD) y de video digital (DVD) o casetes musicales","visible","integer",FALSE
"Información en medios masivos","512290_2017","Grabación_2017","Otros servicios de grabación del sonido","visible","integer",FALSE
NA,"515110_2017","NA_2017",NA,"visible","integer",FALSE
NA,"515120_2017","NA_2017",NA,"visible","integer",FALSE
NA,"515210_2017","NA_2017",NA,"visible","integer",FALSE
NA,"517110_2017","NA_2017",NA,"visible","integer",FALSE
NA,"517210_2017","NA_2017",NA,"visible","integer",FALSE
"Información en medios masivos","517410_2017","Servicios_2017","Operadores de servicios de telecomunicaciones vía satélite","visible","integer",FALSE
"Información en medios masivos","517910_2017","Telecomuni_2017","Otros servicios de telecomunicaciones","visible","integer",FALSE
"Información en medios masivos","518210_2017","Provisión_2017","Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados","visible","integer",FALSE
NA,"519110_2017","NA_2017",NA,"visible","integer",FALSE
NA,"519121_2017","NA_2017",NA,"visible","integer",FALSE
NA,"519122_2017","NA_2017",NA,"visible","integer",FALSE
NA,"519130_2017","NA_2017",NA,"visible","integer",FALSE
NA,"519190_2017","NA_2017",NA,"visible","integer",FALSE
"Servicios financieros y de seguros","521110_2017","Banca_2017","Banca central","visible","integer",FALSE
"Servicios financieros y de seguros","522110_2017","Banca_2017","Banca múltiple","visible","integer",FALSE
"Servicios financieros y de seguros","522210_2017","Banca_2017","Banca de desarrollo","visible","integer",FALSE
"Servicios financieros y de seguros","522220_2017","Fondos_2017","Fondos y fideicomisos financieros","visible","integer",FALSE
"Servicios financieros y de seguros","522310_2017","Uniones_2017","Uniones de crédito","visible","integer",FALSE
"Servicios financieros y de seguros","522320_2017","Cajas_2017","Cajas, cooperativas y sociedades financieras de ahorro y préstamo popular","visible","integer",FALSE
"Servicios financieros y de seguros","522390_2017","Institucio_2017","Otras instituciones de ahorro y préstamo","visible","integer",FALSE
NA,"522410_2017","NA_2017",NA,"visible","integer",FALSE
NA,"522420_2017","NA_2017",NA,"visible","integer",FALSE
NA,"522430_2017","NA_2017",NA,"visible","integer",FALSE
"Servicios financieros y de seguros","522440_2017","Compañías_2017","Compañías de autofinanciamiento","visible","integer",FALSE
"Servicios financieros y de seguros","522451_2017","Montepíos_2017","Montepíos","visible","integer",FALSE
"Servicios financieros y de seguros","522452_2017","Casas_2017","Casas de empeño","visible","integer",FALSE
"Servicios financieros y de seguros","522460_2017","Sociedades_2017","Sociedades financieras de objeto múltiple","visible","integer",FALSE
"Servicios financieros y de seguros","522490_2017","Institucio_2017","Otras instituciones de intermediación crediticia y financiera no bursátil","visible","integer",FALSE
"Servicios financieros y de seguros","522510_2017","Servicios_2017","Servicios relacionados con la intermediación crediticia no bursátil","visible","integer",FALSE
"Servicios financieros y de seguros","523110_2017","Casas_2017","Casas de bolsa","visible","integer",FALSE
"Servicios financieros y de seguros","523121_2017","Casas_2017","Casas de cambio","visible","integer",FALSE
"Servicios financieros y de seguros","523122_2017","Centros_2017","Centros cambiarios","visible","integer",FALSE
"Servicios financieros y de seguros","523210_2017","Bolsa_2017","Bolsa de valores","visible","integer",FALSE
"Servicios financieros y de seguros","523910_2017","Asesoría_2017","Asesoría en inversiones","visible","integer",FALSE
"Servicios financieros y de seguros","523990_2017","Relacionad_2017","Otros servicios relacionados con la intermediación bursátil","visible","integer",FALSE
"Servicios financieros y de seguros","524110_2017","Compañías_2017","Compañías de seguros","visible","integer",FALSE
"Servicios financieros y de seguros","524120_2017","Fondos_2017","Fondos de aseguramiento campesino","visible","integer",FALSE
"Servicios financieros y de seguros","524130_2017","Compañías_2017","Compañías afianzadoras","visible","integer",FALSE
"Servicios financieros y de seguros","524210_2017","Agentes_2017","Agentes, ajustadores y gestores de seguros y fianzas","visible","integer",FALSE
"Servicios financieros y de seguros","524220_2017","Fondos_2017","Administración de fondos para el retiro","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","531111_2017","Alquiler_2017","Alquiler sin intermediación de viviendas amuebladas","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","531112_2017","Alquiler_2017","Alquiler sin intermediación de viviendas no amuebladas","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","531113_2017","Alquiler_2017","Alquiler sin intermediación de salones para fiestas y convenciones","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","531114_2017","Alquiler_2017","Alquiler sin intermediación de oficinas y locales comerciales","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","531115_2017","Alquiler_2017","Alquiler sin intermediación de teatros, estadios, auditorios y similares","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","531116_2017","Alquiler_2017","Alquiler sin intermediación de edificios industriales dentro de un parque industrial","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","531119_2017","Alquiler_2017","Alquiler sin intermediación de otros bienes raíces","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","531210_2017","Inmobiliar_2017","Inmobiliarias y corredores de bienes raíces","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","531311_2017","Administra_2017","Servicios de administración de bienes raíces","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","531319_2017","Relacionad_2017","Otros servicios relacionados con los servicios inmobiliarios","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","532110_2017","Automóvile_2017","Alquiler de automóviles sin chofer","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","532121_2017","Camiones_2017","Alquiler de camiones de carga sin chofer","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","532122_2017","Autobuses_2017","Alquiler de autobuses, minibuses y remolques sin chofer","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","532210_2017","Aparatos_2017","Alquiler de aparatos eléctricos y electrónicos para el hogar y personales","visible","integer",FALSE
NA,"532220_2017","NA_2017",NA,"visible","integer",FALSE
NA,"532230_2017","NA_2017",NA,"visible","integer",FALSE
NA,"532291_2017","NA_2017",NA,"visible","integer",FALSE
NA,"532292_2017","NA_2017",NA,"visible","integer",FALSE
NA,"532299_2017","NA_2017",NA,"visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","532310_2017","Centros_2017","Centros generales de alquiler","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","532411_2017","Maquinaria_2017","Alquiler de maquinaria y equipo para construcción, minería y actividades forestales","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","532412_2017","Transporte_2017","Alquiler de equipo de transporte, excepto terrestre","visible","integer",FALSE
